Region,Country,Indicator,Input,Date
Africa,Cote d'Ivoire,Ratification of Optional Protocol (OPCAT),1.0,2023-01-01
Africa,Democratic Republic of the Congo,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Africa,Djibouti,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Equatorial Guinea,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Eritrea,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Ethiopia,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Gabon,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Africa,Gambia,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Ghana,Ratification of Optional Protocol (OPCAT),1.0,2016-01-01
Africa,Guinea,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Guinea-Bissau,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Kenya,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Lesotho,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Liberia,Ratification of Optional Protocol (OPCAT),1.0,2004-01-01
Africa,Madagascar,Ratification of Optional Protocol (OPCAT),1.0,2017-01-01
Africa,Malawi,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Mali,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Africa,Mauritania,Ratification of Optional Protocol (OPCAT),1.0,2012-01-01
Africa,Mozambique,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Africa,Namibia,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Niger,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Africa,Nigeria,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Africa,Rwanda,Ratification of Optional Protocol (OPCAT),1.0,2015-01-01
Africa,Sao Tome and Principe,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Senegal,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Africa,Seychelles,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Sierra Leone,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Somalia,Ratification of Optional Protocol (OPCAT),0.0,
Africa,South Sudan,Ratification of Optional Protocol (OPCAT),1.0,2015-01-01
Africa,Sudan,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Swaziland,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Uganda,Ratification of Optional Protocol (OPCAT),0.0,
Africa,United Republic of Tanzania,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Zambia,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Zimbabwe,Ratification of Optional Protocol (OPCAT),0.0,
Africa,Mauritius,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Africa,South Africa,Ratification of Optional Protocol (OPCAT),1.0,2019-01-01
Africa,Togo,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Europe,Albania,Ratification of Optional Protocol (OPCAT),1.0,2003-01-01
Europe,Andorra,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Austria,Ratification of Optional Protocol (OPCAT),1.0,2012-01-01
Europe,Armenia,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Belarus,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Belgium,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Bulgaria,Ratification of Optional Protocol (OPCAT),1.0,2011-01-01
Europe,Croatia,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Europe,Cyprus,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Europe,France,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Europe,Czech Republic,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Denmark,Ratification of Optional Protocol (OPCAT),1.0,2004-01-01
Europe,Estonia,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Finland,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Europe,Georgia,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Europe,Germany,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Europe,Greece,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Europe,Holy See,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Hungary,Ratification of Optional Protocol (OPCAT),1.0,2012-01-01
Europe,Iceland,Ratification of Optional Protocol (OPCAT),1.0,2019-01-01
Europe,Italy,Ratification of Optional Protocol (OPCAT),1.0,2013-01-01
Europe,Ireland,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Latvia,Ratification of Optional Protocol (OPCAT),1.0,2021-01-01
Europe,Liechtenstein,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Lithuania,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Europe,Luxembourg,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Europe,North Macedonia,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Europe,Romania,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Europe,San Marino,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Serbia,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Slovakia,Ratification of Optional Protocol (OPCAT),1.0,2023-01-01
Europe,Slovenia,Ratification of Optional Protocol (OPCAT),1.0,2007-01-01
Europe,Spain,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Sweden,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Europe,Switzerland,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Europe,United Kingdom,Ratification of Optional Protocol (OPCAT),1.0,2003-01-01
Europe,Malta,Ratification of Optional Protocol (OPCAT),1.0,2003-01-01
Europe,Monaco,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Montenegro,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Europe,Netherlands,Ratification of Optional Protocol (OPCAT),1.0,2010-01-01
Europe,Norway,Ratification of Optional Protocol (OPCAT),1.0,2013-01-01
Europe,Poland,Ratification of Optional Protocol (OPCAT),1.0,2005-01-01
Europe,Portugal,Ratification of Optional Protocol (OPCAT),1.0,2013-01-01
Europe,Republic of Moldova,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Europe,Russia,Ratification of Optional Protocol (OPCAT),0.0,
Europe,Turkey,Ratification of Optional Protocol (OPCAT),1.0,2011-01-01
Europe,Ukraine,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Middle East,Bahrain,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Egypt,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Iran,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Iraq,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Israel,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Jordan,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Kuwait,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Lebanon,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Middle East,Libya,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Morocco,Ratification of Optional Protocol (OPCAT),1.0,2014-01-01
Middle East,State of Palestine,Ratification of Optional Protocol (OPCAT),1.0,2017-01-01
Middle East,Oman,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Qatar,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Saudi Arabia,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Syria ,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Tunisia,Ratification of Optional Protocol (OPCAT),1.0,2011-01-01
Middle East,United Arab Emirates,Ratification of Optional Protocol (OPCAT),0.0,
Middle East,Yemen,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Afghanistan,Ratification of Optional Protocol (OPCAT),1.0,2018-01-01
Asia-Pacific,Australia,Ratification of Optional Protocol (OPCAT),1.0,2017-01-01
Asia-Pacific,Azerbaijan,Ratification of Optional Protocol (OPCAT),1.0,2009-01-01
Asia-Pacific,Bangladesh,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Bhutan,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Brunei Darussalam,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Cambodia,Ratification of Optional Protocol (OPCAT),1.0,2007-01-01
Asia-Pacific,China,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Cook Islands,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Fiji,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Democratic People's Republic of Korea,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,India,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Indonesia,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Japan,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Kazakhstan,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Asia-Pacific,Kiribati,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Kyrgyzstan,Ratification of Optional Protocol (OPCAT),1.0,2008-01-01
Asia-Pacific,Lao People's Democratic Republic,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Marshall Islands,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Malaysia,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Maldives,Ratification of Optional Protocol (OPCAT),1.0,2006-01-01
Asia-Pacific,Micronesia,Ratification of Optional Protocol (OPCAT),0.0,
Asia-Pacific,Mongolia,Ratification of Optional Protocol (OPCAT),1.0,2015-01-01
Asia-Pacific,Myanmar,Ratification of Optional Protocol (OPCAT),0.0,
